Order_ID,Date,City,Vehicle_Type,Condition,Distance_km,Estimated_Time_min,Actual_Time_min,Delivery_Cost,Customer_Rating,Delay,Delivery_Status,Month,Weekday
ORD10046,23-11-2025,Bangalore,Petrol Bike,Traffic,4.9,29,37,49,4,8,Late,11,Sunday
ORD10047,29-11-2025,Bangalore,Bicycle,Clear,11.6,56,78,166,1,22,Late,11,Saturday
ORD10048,29-11-2025,Bangalore,Petrol Bike,Rain,11.7,56,76,167,1,20,Late,11,Saturday
ORD10049,19-11-2025,Bangalore,Petrol Bike,Traffic,6.6,36,37,66,4,1,Late,11,Wednesday
ORD10050,19-11-2025,Bangalore,Bicycle,Clear,5.9,33,41,59,2.836847947,8,Late,11,Wednesday
ORD10051,04-01-2026,Bangalore,Bicycle,Traffic,10.9,53,81,159,2,28,Late,1,Sunday
ORD10052,04-01-2026,Delhi,Bicycle,Rain,5.5,32,34,55,5,2,Late,1,Sunday
ORD10053,04-01-2026,Bangalore,Ev Scooter,Traffic,12.9,61,81,179,2,20,Late,1,Sunday
ORD10054,04-01-2026,Mumbai,Ev Scooter,Rain,2.2,18,61,72,1,43,Late,1,Sunday
ORD10055,04-01-2026,Bangalore,Ev Scooter,Rain,4.1,26,68,91,2,42,Late,1,Sunday
ORD10056,04-01-2026,Mumbai,Petrol Bike,Rain,10.8,53,76,158,1,23,Late,1,Sunday
ORD10057,24-02-2026,Bangalore,Bicycle,Traffic,4.9,29,33,49,5,4,Late,2,Tuesday
ORD10058,24-02-2026,Bangalore,Petrol Bike,Clear,7.9,68,92,196,2,24,Late,2,Tuesday
ORD10059,24-02-2026,Mumbai,Petrol Bike,Rain,14.5,68,91,195,1,23,Late,2,Tuesday
ORD10060,24-02-2026,Bangalore,Ev Scooter,Rain,2.2,18,45,72,1,27,Late,2,Tuesday
ORD10061,23-12-2025,Mumbai,Petrol Bike,Rain,9,46,62,140,1,16,Late,12,Tuesday
ORD10062,21-09-2025,Bangalore,Bicycle,Clear,3.2,22,30,32,2.836847947,8,Late,9,Sunday
ORD10063,21-09-2025,Mumbai,Ev Scooter,Rain,13.9,65,110,189,1,44,Late,9,Sunday
ORD10064,13-02-2026,Bangalore,Ev Scooter,Clear,1.8,17,21,18,5,4,Late,2,Friday
ORD10065,13-02-2026,Bangalore,Bicycle,Traffic,7.1,38,34,71,2.836847947,-4,Early,2,Friday
ORD10066,13-02-2026,Mumbai,Bicycle,Clear,15,70,93,200,1,23,Late,2,Friday
ORD10067,11-11-2025,Mumbai,Petrol Bike,Traffic,14.6,68,98,196,1,30,Late,11,Tuesday
ORD10068,11-11-2025,Delhi,Petrol Bike,Clear,7.4,39,44,74,5,5,Late,11,Tuesday
ORD10069,11-11-2025,Mumbai,Petrol Bike,Traffic,1.8,17,23,18,5,6,Late,11,Tuesday
ORD10070,19-01-2026,Bangalore,Petrol Bike,Traffic,2.7,20,22,27,4,2,Late,1,Monday
ORD10071,19-01-2026,Bangalore,Bicycle,Rain,8,42,46,80,5,4,Late,1,Monday
ORD10072,20-01-2026,Bangalore,Bicycle,Rain,13.1,62,85,181,2,23,Late,1,Tuesday
ORD10073,01-09-2025,Bangalore,Bicycle,Traffic,13.1,62,91,181,2,29,Late,9,Monday
ORD10074,01-09-2025,Bangalore,Bicycle,Traffic,4.3,27,35,43,5,8,Late,9,Monday
ORD10075,01-09-2025,Mumbai,Ev Scooter,Rain,8,42,80,130,2.836847947,38,Late,9,Monday
ORD10076,01-09-2025,Mumbai,Bicycle,Rain,2,18,21,20,4,3,Late,9,Monday
ORD10077,01-09-2025,Bangalore,Bicycle,Traffic,13.2,62,78,182,2,16,Late,9,Monday
ORD10078,01-09-2025,Delhi,Bicycle,Clear,7.2,38,42,72,4,4,Late,9,Monday
ORD10079,08-10-2025,Mumbai,Bicycle,Rain,3.4,23,20,34,4,-3,Early,10,Wednesday
ORD10080,08-10-2025,Bangalore,Petrol Bike,Rain,10.3,51,80,153,2.836847947,29,Late,10,Wednesday
ORD10081,29-01-2026,Mumbai,Bicycle,Rain,7.4,39,43,74,5,4,Late,1,Thursday
ORD10082,29-01-2026,Delhi,Petrol Bike,Clear,14.7,68,95,197,1,27,Late,1,Thursday
ORD10083,29-01-2026,Bangalore,Bicycle,Rain,4.1,26,27,41,4,1,Late,1,Thursday
ORD10084,13-02-2026,Delhi,Petrol Bike,Clear,9.1,46,65,141,2,19,Late,2,Friday
ORD10085,13-02-2026,Bangalore,Bicycle,Rain,12.6,60,83,176,2,23,Late,2,Friday
ORD10086,13-02-2026,Bangalore,Ev Scooter,Rain,13,62,105,180,2.836847947,43,Late,2,Friday
ORD10087,13-02-2026,Mumbai,Petrol Bike,Rain,9.2,46,72,142,1,26,Late,2,Friday
ORD10088,13-02-2026,Bangalore,Bicycle,Clear,7.9,49,78,149,2,29,Late,2,Friday
ORD10089,13-02-2026,Mumbai,Ev Scooter,Clear,4.3,27,26,43,5,-1,Early,2,Friday
ORD10090,13-02-2026,Delhi,Petrol Bike,Traffic,14.1,66,89,191,2,23,Late,2,Friday
ORD10091,02-12-2025,Delhi,Petrol Bike,Rain,1.8,17,20,18,2.836847947,3,Late,12,Tuesday
ORD10092,02-12-2025,Bangalore,Ev Scooter,Rain,4.4,27,51,94,1,24,Late,12,Tuesday
ORD10093,02-12-2025,Bangalore,Bicycle,Clear,4.9,29,28,49,4,-1,Early,12,Tuesday
ORD10094,04-10-2025,Delhi,Ev Scooter,Rain,1.2,14,42,62,1,28,Late,10,Saturday
ORD10095,04-10-2025,Bangalore,Petrol Bike,Rain,14.2,66,82,192,2,16,Late,10,Saturday
ORD10096,04-10-2025,Delhi,Petrol Bike,Traffic,10.6,52,82,156,1,30,Late,10,Saturday
ORD10097,03-10-2025,Delhi,Bicycle,Rain,6.3,35,39,63,4,4,Late,10,Friday
ORD10098,03-10-2025,Delhi,Bicycle,Rain,7,38,40,70,5,2,Late,10,Friday
ORD10099,03-10-2025,Bangalore,Petrol Bike,Rain,10.6,52,82,156,1,30,Late,10,Friday
ORD10100,03-10-2025,Mumbai,Ev Scooter,Rain,10.4,51,84,154,2,33,Late,10,Friday
ORD10101,03-10-2025,Bangalore,Ev Scooter,Rain,3.2,22,57,82,2,35,Late,10,Friday
ORD10102,03-10-2025,Delhi,Bicycle,Clear,9.5,48,71,145,2,23,Late,10,Friday
ORD10103,03-10-2025,Mumbai,Bicycle,Traffic,2,18,13,20,5,-5,Early,10,Friday
ORD10104,03-10-2025,Bangalore,Bicycle,Clear,13.4,63,82,184,1,19,Late,10,Friday
ORD10105,03-10-2025,Mumbai,Petrol Bike,Rain,11.6,56,74,166,2,18,Late,10,Friday
ORD10106,03-10-2025,Mumbai,Ev Scooter,Clear,7.9,25,26,39,5,1,Late,10,Friday
ORD10107,20-12-2025,Mumbai,Bicycle,Rain,8,42,48,80,4,6,Late,12,Saturday
ORD10108,20-12-2025,Mumbai,Petrol Bike,Traffic,10.9,53,81,159,2,28,Late,12,Saturday
ORD10109,20-12-2025,Bangalore,Ev Scooter,Traffic,12.8,61,83,178,1,22,Late,12,Saturday
ORD10110,26-11-2025,Delhi,Ev Scooter,Clear,8.1,42,60,131,2,18,Late,11,Wednesday
ORD10111,26-11-2025,Bangalore,Ev Scooter,Rain,4.6,28,53,96,1,25,Late,11,Wednesday
ORD10112,26-11-2025,Mumbai,Bicycle,Traffic,10.5,52,77,155,1,25,Late,11,Wednesday
ORD10113,26-11-2025,Bangalore,Bicycle,Clear,5.9,33,30,59,4,-3,Early,11,Wednesday
ORD10114,26-11-2025,Delhi,Ev Scooter,Traffic,7.5,40,36,75,4,-4,Early,11,Wednesday
ORD10115,26-11-2025,Mumbai,Ev Scooter,Rain,14.8,69,91,198,1,22,Late,11,Wednesday
ORD10116,26-11-2025,Bangalore,Petrol Bike,Rain,13.9,65,92,189,1,27,Late,11,Wednesday
ORD10117,26-11-2025,Mumbai,Bicycle,Traffic,5,30,29,50,4,-1,Early,11,Wednesday
ORD10118,26-11-2025,Mumbai,Ev Scooter,Clear,5.3,31,38,53,4,7,Late,11,Wednesday
ORD10119,26-11-2025,Bangalore,Bicycle,Traffic,8.1,42,57,81,4,15,Late,11,Wednesday
ORD10120,20-10-2025,Bangalore,Ev Scooter,Clear,5.1,30,28,51,4,-2,Early,10,Monday
ORD10121,06-02-2026,Mumbai,Ev Scooter,Rain,7.9,24,66,85,1,42,Late,2,Friday
ORD10122,06-02-2026,Bangalore,Petrol Bike,Rain,11.5,56,85,165,2,29,Late,2,Friday
ORD10123,06-02-2026,Mumbai,Petrol Bike,Rain,11.9,57,85,169,1,28,Late,2,Friday
ORD10124,06-02-2026,Mumbai,Ev Scooter,Clear,5,30,30,50,4,0,On-Time,2,Friday
ORD10125,06-02-2026,Bangalore,Ev Scooter,Traffic,1.7,16,22,17,5,6,Late,2,Friday
ORD10126,06-02-2026,Delhi,Petrol Bike,Rain,2.9,21,25,29,4,4,Late,2,Friday
ORD10127,05-02-2026,Bangalore,Ev Scooter,Rain,4,26,50,90,2,24,Late,2,Thursday
ORD10128,17-11-2025,Bangalore,Petrol Bike,Traffic,1.9,17,27,19,4,10,Late,11,Monday
ORD10129,17-11-2025,Bangalore,Bicycle,Traffic,3.6,24,21,36,4,-3,Early,11,Monday
ORD10130,17-11-2025,Bangalore,Petrol Bike,Clear,6,34,31,60,4,-3,Early,11,Monday
ORD10131,25-11-2025,Bangalore,Bicycle,Rain,12.4,59,79,174,2,20,Late,11,Tuesday
ORD10132,25-11-2025,Mumbai,Ev Scooter,Rain,3.8,25,70,88,2,44,Late,11,Tuesday
ORD10133,25-11-2025,Bangalore,Bicycle,Rain,5,30,26,50,4,-4,Early,11,Tuesday
ORD10134,25-11-2025,Mumbai,Petrol Bike,Rain,7.9,41,51,79,5,10,Late,11,Tuesday
ORD10135,25-11-2025,Delhi,Ev Scooter,Rain,5.5,32,54,105,2,22,Late,11,Tuesday
ORD10136,25-11-2025,Mumbai,Ev Scooter,Rain,9.6,48,81,146,2.836847947,33,Late,11,Tuesday
ORD10137,25-11-2025,Delhi,Bicycle,Rain,14.3,67,86,193,2.836847947,19,Late,11,Tuesday
ORD10138,25-11-2025,Mumbai,Bicycle,Clear,9.5,48,77,145,1,29,Late,11,Tuesday
ORD10139,25-11-2025,Bangalore,Ev Scooter,Clear,1.4,15,15,14,4,0,On-Time,11,Tuesday
ORD10140,24-12-2025,Mumbai,Petrol Bike,Traffic,3.8,25,24,38,5,-1,Early,12,Wednesday
ORD10141,24-12-2025,Delhi,Ev Scooter,Rain,13.5,64,89,185,1,25,Late,12,Wednesday
ORD10142,24-12-2025,Delhi,Ev Scooter,Rain,12.1,58,78,171,2,20,Late,12,Wednesday
ORD10143,24-12-2025,Bangalore,Petrol Bike,Traffic,15,70,100,200,1,30,Late,12,Wednesday
ORD10144,24-12-2025,Delhi,Bicycle,Rain,2.8,21,21,28,4,0,On-Time,12,Wednesday
ORD10145,17-11-2025,Bangalore,Bicycle,Rain,5.8,33,37,58,5,4,Late,11,Monday
ORD10146,15-01-2026,Delhi,Ev Scooter,Rain,7.9,23,62,84,1,39,Late,1,Thursday
ORD10147,15-01-2026,Delhi,Bicycle,Rain,10.1,50,78,151,2,28,Late,1,Thursday
ORD10148,15-01-2026,Delhi,Petrol Bike,Rain,7.3,39,35,73,5,-4,Early,1,Thursday
ORD10149,15-01-2026,Bangalore,Bicycle,Rain,14.7,68,87,197,1,19,Late,1,Thursday
ORD10150,15-01-2026,Bangalore,Ev Scooter,Clear,5.1,30,37,51,4,7,Late,1,Thursday
ORD10151,20-11-2025,Bangalore,Petrol Bike,Traffic,8,42,46,80,5,4,Late,11,Thursday
ORD10152,20-11-2025,Bangalore,Ev Scooter,Rain,7.9,41,81,129,1,40,Late,11,Thursday
ORD10153,20-11-2025,Delhi,Petrol Bike,Rain,1.6,16,12,16,2.836847947,-4,Early,11,Thursday
ORD10154,19-01-2026,Mumbai,Bicycle,Clear,2.8,21,19,28,5,-2,Early,1,Monday
ORD10155,07-10-2025,Mumbai,Petrol Bike,Clear,1.6,16,15,16,5,-1,Early,10,Tuesday
ORD10156,07-10-2025,Mumbai,Petrol Bike,Rain,6.5,36,40,65,5,4,Late,10,Tuesday
ORD10157,07-10-2025,Delhi,Ev Scooter,Traffic,9.2,46,61,92,4,15,Late,10,Tuesday
ORD10158,07-10-2025,Delhi,Bicycle,Traffic,3.1,22,24,31,4,2,Late,10,Tuesday
ORD10159,17-12-2025,Delhi,Ev Scooter,Traffic,8,42,52,80,4,10,Late,12,Wednesday
ORD10160,17-12-2025,Delhi,Petrol Bike,Traffic,5.4,31,31,54,5,0,On-Time,12,Wednesday
ORD10161,17-12-2025,Delhi,Petrol Bike,Traffic,3.7,24,26,37,5,2,Late,12,Wednesday
ORD10162,17-12-2025,Bangalore,Petrol Bike,Rain,8.8,45,68,138,2,23,Late,12,Wednesday
ORD10163,17-12-2025,Delhi,Ev Scooter,Rain,1.6,16,58,66,2,42,Late,12,Wednesday
ORD10164,16-01-2026,Mumbai,Bicycle,Rain,2.9,21,23,29,4,2,Late,1,Friday
ORD10165,16-01-2026,Mumbai,Ev Scooter,Rain,1.1,14,51,61,2,37,Late,1,Friday
ORD10166,16-01-2026,Delhi,Ev Scooter,Clear,10.1,50,72,151,1,22,Late,1,Friday
ORD10167,16-01-2026,Bangalore,Petrol Bike,Traffic,3.6,24,28,36,4,4,Late,1,Friday
ORD10168,16-01-2026,Mumbai,Bicycle,Traffic,13.4,63,82,184,1,19,Late,1,Friday
ORD10169,16-01-2026,Delhi,Ev Scooter,Clear,11.3,55,79,163,1,24,Late,1,Friday
ORD10170,16-01-2026,Mumbai,Petrol Bike,Clear,7.9,36,34,66,5,-2,Early,1,Friday
ORD10171,08-12-2025,Delhi,Petrol Bike,Rain,5.2,30,25,52,2.836847947,-5,Early,12,Monday
ORD10172,18-11-2025,Delhi,Bicycle,Rain,10.7,52,76,157,1,24,Late,11,Tuesday
ORD10173,18-11-2025,Delhi,Bicycle,Traffic,11.6,56,77,166,1,21,Late,11,Tuesday
ORD10174,02-12-2025,Mumbai,Ev Scooter,Clear,12.6,60,81,176,2,21,Late,12,Tuesday
ORD10175,22-02-2026,Mumbai,Petrol Bike,Clear,13.6,64,93,186,2,29,Late,2,Sunday
ORD10176,22-02-2026,Bangalore,Bicycle,Clear,6.5,36,31,65,4,-5,Early,2,Sunday
ORD10177,22-02-2026,Bangalore,Petrol Bike,Clear,5,30,30,50,5,0,On-Time,2,Sunday
ORD10178,22-02-2026,Mumbai,Petrol Bike,Clear,10.6,52,71,156,1,19,Late,2,Sunday
ORD10179,22-02-2026,Bangalore,Ev Scooter,Clear,14.7,68,97,197,2,29,Late,2,Sunday
ORD10180,28-11-2025,Bangalore,Bicycle,Clear,1.5,16,24,15,4,8,Late,11,Friday
ORD10181,31-01-2026,Mumbai,Bicycle,Clear,4.4,27,23,44,4,-4,Early,1,Saturday
ORD10182,31-01-2026,Bangalore,Ev Scooter,Rain,9.1,46,90,141,2,44,Late,1,Saturday
ORD10183,12-01-2026,Bangalore,Petrol Bike,Clear,8.8,45,65,138,2.836847947,20,Late,1,Monday
ORD10184,12-01-2026,Delhi,Bicycle,Rain,10.7,52,80,157,2,28,Late,1,Monday
ORD10185,01-03-2026,Mumbai,Ev Scooter,Traffic,14.5,68,87,195,2,19,Late,3,Sunday
ORD10186,04-12-2025,Delhi,Ev Scooter,Clear,4.8,29,25,48,4,-4,Early,12,Thursday
ORD10187,04-12-2025,Bangalore,Ev Scooter,Rain,14.5,68,91,195,1,23,Late,12,Thursday
ORD10188,04-12-2025,Mumbai,Petrol Bike,Rain,6.3,35,41,63,5,6,Late,12,Thursday
ORD10189,04-12-2025,Bangalore,Ev Scooter,Rain,5.4,31,52,104,2.836847947,21,Late,12,Thursday
ORD10190,04-12-2025,Mumbai,Petrol Bike,Rain,3.7,24,26,37,5,2,Late,12,Thursday
ORD10191,26-11-2025,Delhi,Petrol Bike,Traffic,7.5,40,46,75,5,6,Late,11,Wednesday
ORD10192,26-11-2025,Mumbai,Ev Scooter,Clear,14.2,66,82,192,2.836847947,16,Late,11,Wednesday
ORD10193,26-11-2025,Bangalore,Ev Scooter,Traffic,10.2,50,63,152,2.836847947,13,Late,11,Wednesday
ORD10194,26-11-2025,Bangalore,Bicycle,Traffic,12.3,59,79,173,1,20,Late,11,Wednesday
ORD10195,26-11-2025,Bangalore,Petrol Bike,Clear,6.2,34,41,62,4,7,Late,11,Wednesday
ORD10196,26-11-2025,Delhi,Bicycle,Clear,2.3,19,26,23,4,7,Late,11,Wednesday
ORD10197,26-11-2025,Bangalore,Bicycle,Clear,13.5,64,80,185,2,16,Late,11,Wednesday
ORD10198,26-11-2025,Mumbai,Bicycle,Clear,3.5,24,63,85,1,39,Late,11,Wednesday
ORD10199,26-11-2025,Bangalore,Ev Scooter,Rain,8.9,45,77,139,2,32,Late,11,Wednesday
ORD10200,26-11-2025,Mumbai,Bicycle,Rain,1.8,17,25,18,5,8,Late,11,Wednesday
ORD10201,10-02-2026,Mumbai,Petrol Bike,Rain,6,34,41,60,2.836847947,7,Late,2,Tuesday
ORD10202,10-02-2026,Bangalore,Petrol Bike,Rain,6.3,35,34,63,2.836847947,-1,Early,2,Tuesday
ORD10203,10-02-2026,Bangalore,Ev Scooter,Rain,2.2,18,51,72,2,33,Late,2,Tuesday
ORD10204,20-01-2026,Mumbai,Petrol Bike,Traffic,1.2,14,22,12,4,8,Late,1,Tuesday
ORD10205,07-12-2025,Bangalore,Petrol Bike,Rain,7.9,41,38,79,5,-3,Early,12,Sunday
ORD10206,07-12-2025,Delhi,Bicycle,Traffic,9.3,47,68,143,1,21,Late,12,Sunday
ORD10207,07-12-2025,Delhi,Petrol Bike,Traffic,5.7,32,31,57,4,-1,Early,12,Sunday
ORD10208,07-12-2025,Bangalore,Bicycle,Traffic,14.5,68,90,195,2,22,Late,12,Sunday
ORD10209,07-12-2025,Mumbai,Ev Scooter,Clear,14.3,67,96,193,2,29,Late,12,Sunday
ORD10210,07-12-2025,Bangalore,Bicycle,Rain,4.4,27,26,44,4,-1,Early,12,Sunday
ORD10211,07-12-2025,Mumbai,Bicycle,Traffic,8.6,44,70,136,1,26,Late,12,Sunday
ORD10212,07-12-2025,Delhi,Bicycle,Clear,8.9,45,72,139,2,27,Late,12,Sunday
ORD10213,07-12-2025,Mumbai,Bicycle,Rain,7.9,38,45,72,4,7,Late,12,Sunday
ORD10214,27-09-2025,Bangalore,Ev Scooter,Rain,5.9,33,63,109,2,30,Late,9,Saturday
ORD10215,27-09-2025,Bangalore,Petrol Bike,Clear,12.3,59,77,173,1,18,Late,9,Saturday
ORD10216,27-09-2025,Mumbai,Ev Scooter,Rain,8.8,45,79,138,1,34,Late,9,Saturday
ORD10217,11-12-2025,Mumbai,Ev Scooter,Traffic,9.3,47,63,143,2,16,Late,12,Thursday
ORD10218,11-12-2025,Delhi,Bicycle,Rain,6.1,34,35,61,5,1,Late,12,Thursday
ORD10219,11-12-2025,Mumbai,Bicycle,Clear,5.9,33,42,59,5,9,Late,12,Thursday
ORD10220,20-02-2026,Bangalore,Ev Scooter,Rain,2.6,20,51,76,2,31,Late,2,Friday
ORD10221,18-12-2025,Delhi,Bicycle,Rain,8.8,45,75,138,2,30,Late,12,Thursday
ORD10222,18-12-2025,Bangalore,Petrol Bike,Traffic,6.7,36,46,67,5,10,Late,12,Thursday
ORD10223,27-10-2025,Bangalore,Ev Scooter,Rain,3.4,23,57,84,2,34,Late,10,Monday
ORD10224,30-09-2025,Mumbai,Petrol Bike,Clear,11.6,56,85,166,1,29,Late,9,Tuesday
ORD10225,03-11-2025,Bangalore,Petrol Bike,Rain,5.9,33,30,59,4,-3,Early,11,Monday
ORD10226,03-11-2025,Delhi,Bicycle,Traffic,3.3,23,22,33,4,-1,Early,11,Monday
ORD10227,03-11-2025,Bangalore,Bicycle,Rain,5.1,30,33,51,4,3,Late,11,Monday
ORD10228,03-11-2025,Bangalore,Bicycle,Rain,10.8,53,72,158,1,19,Late,11,Monday
ORD10229,04-01-2026,Delhi,Petrol Bike,Traffic,6.3,35,32,63,4,-3,Early,1,Sunday
ORD10230,04-01-2026,Bangalore,Petrol Bike,Traffic,5.6,32,27,56,4,-5,Early,1,Sunday
ORD10231,04-01-2026,Delhi,Ev Scooter,Traffic,4,26,34,40,5,8,Late,1,Sunday
ORD10232,26-01-2026,Delhi,Petrol Bike,Rain,13.5,64,80,185,2.836847947,16,Late,1,Monday
ORD10233,26-01-2026,Bangalore,Petrol Bike,Rain,14.9,69,88,199,2.836847947,19,Late,1,Monday
ORD10234,26-01-2026,Delhi,Ev Scooter,Clear,6.5,36,40,65,5,4,Late,1,Monday
ORD10235,01-09-2025,Bangalore,Ev Scooter,Rain,8.3,43,63,133,1,20,Late,9,Monday
ORD10236,01-09-2025,Bangalore,Petrol Bike,Clear,11.2,54,72,162,2,18,Late,9,Monday
ORD10237,01-09-2025,Delhi,Ev Scooter,Clear,8.4,43,58,84,5,15,Late,9,Monday
ORD10238,01-09-2025,Mumbai,Bicycle,Traffic,13,62,79,180,1,17,Late,9,Monday
ORD10239,01-09-2025,Bangalore,Ev Scooter,Rain,10,50,77,150,2,27,Late,9,Monday
ORD10240,01-09-2025,Bangalore,Bicycle,Rain,11.5,56,80,165,1,24,Late,9,Monday
ORD10241,01-09-2025,Bangalore,Bicycle,Clear,14.8,69,94,198,2,25,Late,9,Monday
ORD10242,01-09-2025,Delhi,Ev Scooter,Clear,9.2,46,61,92,4,15,Late,9,Monday
ORD10243,01-09-2025,Mumbai,Petrol Bike,Traffic,10.8,53,70,158,1,17,Late,9,Monday
ORD10244,01-09-2025,Delhi,Ev Scooter,Rain,6.5,36,76,115,1,40,Late,9,Monday
ORD10245,01-11-2025,Bangalore,Petrol Bike,Clear,7.3,39,35,73,4,-4,Early,11,Saturday
ORD10246,27-02-2026,Mumbai,Petrol Bike,Rain,7.9,23,22,33,4,-1,Early,2,Friday
ORD10247,19-12-2025,Bangalore,Petrol Bike,Clear,7.9,41,47,79,4,6,Late,12,Friday
ORD10248,19-12-2025,Delhi,Bicycle,Clear,4.2,26,21,42,2.836847947,-5,Early,12,Friday
ORD10249,09-10-2025,Delhi,Ev Scooter,Traffic,4.1,26,28,41,5,2,Late,10,Thursday
ORD10250,09-10-2025,Bangalore,Ev Scooter,Rain,12.3,59,80,173,2,21,Late,10,Thursday
ORD10251,09-10-2025,Mumbai,Petrol Bike,Clear,6.2,34,38,62,4,4,Late,10,Thursday
ORD10252,09-10-2025,Delhi,Ev Scooter,Rain,7.9,22,55,81,1,33,Late,10,Thursday
